distance_km,time_of_day,day_of_week,traffic_level,weather_level,current_delay,is_weekend,is_rush_hour,crowd_level
9.26,8,4,7,1,12.1,0,1,767.0
12.36,15,1,3,0,7.9,0,0,320.0
8.19,9,0,7,2,13.9,0,1,892.0
7.38,16,2,2,0,8.6,0,0,406.0
13.38,17,0,9,5,28.6,0,1,963.0
7.83,9,0,8,4,20.0,0,1,855.0
10.32,7,6,2,3,8.7,1,0,356.0
9.67,13,5,3,3,12.9,1,0,286.0
13.37,7,0,5,1,9.6,0,0,437.0
6.5,14,2,2,0,10.3,0,0,394.0
16.34,17,1,8,2,19.8,0,1,835.0
5.36,16,6,4,0,5.9,1,0,372.0
10.77,12,3,3,3,18.8,0,0,393.0
9.96,21,1,6,0,11.1,0,0,487.0
5.0,7,4,4,3,20.2,0,0,503.0
11.36,19,3,7,1,14.2,0,1,754.0
6.86,18,1,9,3,20.4,0,1,825.0
3.81,11,2,5,0,7.0,0,0,557.0
12.31,7,0,5,1,9.5,0,0,423.0
2.72,8,4,7,4,19.6,0,1,877.0
4.39,20,6,4,0,6.2,1,1,582.0
8.12,8,5,5,0,7.6,1,1,722.0
13.31,19,2,9,0,18.1,0,1,887.0
11.83,13,3,4,1,12.7,0,0,470.0
9.16,12,0,4,1,11.3,0,0,425.0
2.0,16,2,2,1,11.8,0,0,471.0
5.18,8,0,5,0,8.7,0,1,713.0
6.06,11,5,2,0,3.5,1,0,292.0
3.66,20,6,6,3,15.2,1,1,756.0
1.53,8,1,6,1,10.5,0,1,833.0
8.39,20,4,5,0,8.9,0,1,640.0
12.07,23,4,4,0,6.7,0,0,500.0
5.72,6,2,5,0,6.6,0,0,531.0
13.21,14,5,2,2,14.3,1,0,238.0
2.44,8,4,8,2,15.1,0,1,911.0
3.48,16,1,0,1,0.6,0,0,261.0
8.27,23,5,2,1,4.9,1,0,293.0
5.37,19,4,6,3,16.0,0,1,712.0
11.43,20,2,8,0,13.0,0,1,784.0
10.25,8,5,6,0,10.3,1,1,644.0
5.65,14,4,2,0,2.0,0,0,436.0
2.65,8,0,9,5,23.6,0,1,1000.0
5.18,20,1,8,1,15.2,0,1,952.0
10.41,8,2,9,1,17.9,0,1,922.0
11.73,7,0,4,2,13.3,0,0,442.0
5.38,2,2,1,0,2.0,0,0,373.0
1.52,8,3,5,0,8.6,0,1,802.0
2.32,8,5,6,1,16.5,1,1,670.0
9.87,6,1,8,5,26.2,0,0,667.0
5.58,19,3,6,0,9.9,0,1,824.0
5.68,18,4,6,0,8.1,0,1,821.0
3.44,9,3,10,3,20.5,0,1,801.0
3.39,18,6,6,2,21.1,1,1,791.0
13.06,11,2,3,1,8.3,0,0,444.0
10.1,18,2,7,0,10.9,0,1,782.0
4.67,9,0,8,0,11.1,0,1,796.0
7.87,15,2,3,0,5.8,0,0,304.0
8.81,10,0,8,0,14.3,0,1,731.0
20.09,8,6,5,2,16.6,1,1,667.0
3.15,15,1,2,2,7.3,0,0,408.0
8.73,18,5,6,3,17.5,1,1,728.0
13.02,18,0,7,0,11.6,0,1,864.0
18.66,10,1,8,0,13.4,0,1,695.0
4.49,14,0,5,2,12.8,0,0,465.0
5.53,18,2,9,0,13.2,0,1,948.0
11.5,6,4,3,0,5.0,0,0,349.0
1.97,6,2,3,0,4.2,0,0,412.0
9.31,10,4,6,0,13.5,0,1,766.0
24.56,8,5,7,0,12.6,1,1,676.0
9.97,10,0,8,0,14.3,0,1,689.0
0.82,7,2,4,3,13.0,0,0,487.0
3.85,15,4,5,0,7.5,0,0,448.0
4.6,17,3,6,1,12.5,0,1,749.0
14.94,18,1,9,1,17.1,0,1,851.0
6.63,17,1,9,1,14.8,0,1,908.0
1.54,11,2,2,1,9.9,0,0,450.0
7.18,20,4,7,0,9.8,0,1,900.0
8.2,17,6,2,0,5.0,1,1,568.0
5.06,14,2,5,1,8.8,0,0,488.0
3.34,8,3,7,4,18.0,0,1,920.0
26.18,17,2,8,0,14.6,0,1,726.0
13.05,15,0,4,0,10.5,0,0,463.0
13.8,17,2,10,5,26.0,0,1,953.0
6.64,18,2,8,2,15.2,0,1,786.0
4.43,20,1,7,2,14.0,0,1,891.0
5.25,21,4,3,1,7.1,0,0,386.0
2.43,16,1,4,3,13.0,0,0,473.0
19.85,21,1,3,1,8.4,0,0,339.0
6.84,20,2,7,1,12.4,0,1,861.0
17.12,0,6,3,2,11.9,1,0,365.0
5.44,16,4,2,0,10.1,0,0,382.0
10.06,8,2,7,4,18.6,0,1,850.0
8.51,9,5,6,5,25.5,1,1,673.0
2.21,9,0,3,1,7.2,0,1,707.0
21.4,13,2,4,0,11.3,0,0,303.0
5.56,1,3,5,2,13.4,0,0,502.0
2.9,8,3,3,0,3.7,0,1,716.0
11.56,5,4,4,1,13.3,0,0,369.0
7.44,17,4,6,0,9.1,0,1,781.0
9.47,19,3,6,2,15.4,0,1,806.0
7.97,23,6,3,4,12.6,1,0,220.0
0.93,12,6,3,0,5.7,1,0,393.0
3.74,9,3,6,2,12.6,0,1,888.0
3.62,19,6,7,3,18.4,1,1,773.0
