stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
0,DC4539,Narela Terminal,28.852004,77.088059,0.0
1,DC4540,Police Station Narela,28.853366,77.088535,1.0
2,DC4541,Safiyabad Crossing,28.855266,77.08973,2.0
3,DC4542,Ramdev Chowk Pithori Jhori,28.857752,77.09285600000003,3.0
4,DC4543,Narela A-6 / CPJ College,28.857652,77.09574599999998,4.0
5,DC4544,State Bank Of Allahbad,28.857128000000003,77.097951,5.0
6,DC4545,Sec A-9 Narela,28.85454600000001,77.09790699999998,6.0
7,DC4546,Sec A-9 and A-6 Narela,28.85177100000001,77.097849,7.0
8,DC4547,A-7 Narela Sec- 10A Pocket- 66,28.849048,77.098446,8.0
9,DC4548,Harish Chandra Hospital,28.840806,77.10202199999998,9.0
10,DC4549,Kasturi Ram School,28.837182,77.098223,10.0
11,DC4550,Munim Ji Ka Bagh,28.836163,77.092108,11.0
12,DC4551,New Anaj Mandi,28.838335,77.091413,12.0
13,DC4552,Kurani More,28.840835,77.09052700000002,13.0
14,DC4893,Prem Nagar Narela,28.837755,77.081097,14.0
15,DC4554,Maharaja Agrassen School,28.835906,77.07933299999998,15.0
16,DC4555,Bharat Mata School,28.833074,77.076871,16.0
17,DC4556,Kaushal Devi Netraheen Ashram,28.825201,77.070198,17.0
18,DC5264,Sannoth Crossing / Ghoga Crossing,28.819549,77.06355,18.0
19,DC4558,Delhi Jal Board Bawana,28.815305,77.057968,19.0
20,DC4559,Jain Bekhunth Mandir,28.81187700000001,77.05411099999998,20.0
21,DC4560,JJ Colony Bawana Crpf Camp,28.806836,77.04800999999998,21.0
23,DC3605,Swaroop Nagar GT Road,28.758318,77.14830500000002,23.0
24,DC3606,Libas Pur GT Road,28.750112,77.150774,24.0
25,U01532,Sanjay Gandhi Transport Nagar,28.7402,77.154,25.0
26,DC3607,Mukarba Chowk,28.735084000000004,77.155874,26.0
27,U01588,GTK Depot,28.731117,77.158967,27.0
28,U99882A,Jahangirpuri GT Road (Metro Station),28.7257,77.163,28.0
29,DC3655,Mahindra Park,28.721715000000003,77.166162,29.0
30,U01698,Sarai Pipal Thala,28.7206,77.1671,30.0
31,U01747,Adarsh Nagar Metro Station,28.717467,77.169917,31.0
32,U01781,New Sabzi Mandi,28.714415,77.172422,32.0
33,U01867,Azadpur,28.7063,77.1795,33.0
34,U01929,Bara Bagh,28.7017,77.1831,34.0
35,U01969,Gujranwala Town,28.6995,77.1849,35.0
36,U02004,Telephone Exchange,28.6971,77.1869,36.0
37,U02033,State Bank Colony,28.6954,77.1883,37.0
38,U02088,Gurudwara Nanak Pyau,28.691,77.192,38.0
39,U02112,Rana Pratap Bagh,28.6882666666667,77.1937,39.0
40,U02138,Gur Mandi,28.6848,77.1963,40.0
41,U02180,Roop Nagar / Shakti Nagar (GT Road),28.682832,77.197614,41.0
42,DC0027,Clock Tower,28.677617,77.201567,42.0
43,U02242,Roshnara Bagh,28.6733,77.2018,43.0
44,U02274,Roshnara Road,28.669249,77.20455,44.0
45,U02387,Ice Factory (Roshanara Road),28.66745,77.20765,45.0
46,DC0028,St Stephen Hospital,28.6674,77.2143,46.0
47,U02512,Tees Hazari Court,28.6668,77.2188,47.0
48,U02690,ISBT Nityanand Marg,28.668342,77.225091,48.0
49,DC3575,ISBT Bridge,28.6692730781321,77.22821832178809,49.0
50,U02946,Metro Train Depot,28.673867,77.241633,50.0
