route_id,service_id,trip_id,shape_id
0,1,0_06_00,
0,1,0_06_10,
0,1,0_06_20,
0,1,0_06_30,
0,1,0_06_40,
0,1,0_06_50,
0,1,0_07_00,
0,1,0_07_10,
0,1,0_07_20,
0,1,0_07_30,
0,1,0_07_40,
0,1,0_07_50,
0,1,0_08_00,
0,1,0_08_10,
0,1,0_08_20,
0,1,0_08_30,
0,1,0_08_40,
0,1,0_08_50,
0,1,0_09_00,
0,1,0_09_10,
0,1,0_09_20,
0,1,0_09_30,
0,1,0_09_40,
0,1,0_09_50,
0,1,0_10_00,
0,1,0_10_10,
0,1,0_10_20,
0,1,0_10_30,
0,1,0_10_40,
0,1,0_10_50,
0,1,0_11_00,
0,1,0_11_10,
0,1,0_11_20,
0,1,0_11_30,
0,1,0_11_40,
0,1,0_11_50,
0,1,0_12_00,
0,1,0_12_10,
0,1,0_12_20,
0,1,0_12_30,
0,1,0_12_40,
0,1,0_12_50,
0,1,0_13_00,
0,1,0_13_10,
0,1,0_13_20,
0,1,0_13_30,
0,1,0_13_40,
0,1,0_13_50,
0,1,0_14_00,
0,1,0_14_10,
0,1,0_14_20,
0,1,0_14_30,
0,1,0_14_40,
0,1,0_14_50,
0,1,0_15_00,
0,1,0_15_10,
0,1,0_15_20,
0,1,0_15_30,
0,1,0_15_40,
0,1,0_15_50,
0,1,0_16_00,
0,1,0_16_10,
0,1,0_16_20,
0,1,0_16_30,
0,1,0_16_40,
0,1,0_16_50,
0,1,0_17_00,
0,1,0_17_10,
0,1,0_17_20,
0,1,0_17_30,
0,1,0_17_40,
0,1,0_17_50,
0,1,0_18_00,
0,1,0_18_10,
0,1,0_18_20,
0,1,0_18_30,
0,1,0_18_40,
0,1,0_18_50,
0,1,0_19_00,
0,1,0_19_10,
0,1,0_19_20,
0,1,0_19_30,
0,1,0_19_40,
0,1,0_19_50,
0,1,0_20_00,
0,1,0_20_10,
0,1,0_20_20,
0,1,0_20_30,
0,1,0_20_40,
0,1,0_20_50,
0,1,0_21_00,
0,1,0_21_10,
0,1,0_21_20,
0,1,0_21_30,
0,1,0_21_40,
0,1,0_21_50,
0,1,0_22_00,
0,1,0_22_10,
0,1,0_22_20,
0,1,0_22_30,
0,1,0_22_40,
0,1,0_22_50,
0,1,0_23_00,
1,1,1_00_02,
1,1,1_23_16,
1,1,1_22_28,
1,1,1_21_02,
1,1,1_21_40,
1,1,1_23_38,
1,1,1_22_04,
1,1,1_22_52,
2,1,2_21_08,
2,1,2_21_32,
2,1,2_22_20,
2,1,2_21_56,
3,1,3_18_36,
3,1,3_16_36,
3,1,3_11_42,
3,1,3_18_12,
3,1,3_10_06,
3,1,3_17_24,
3,1,3_10_54,
3,1,3_17_48,
3,1,3_17_00,
3,1,3_09_18,
3,1,3_07_42,
3,1,3_15_48,
3,1,3_09_42,
3,1,3_08_54,
3,1,3_19_24,
3,1,3_08_30,
4,1,4_18_36,
4,1,4_16_36,
4,1,4_11_42,
4,1,4_18_12,
4,1,4_10_06,
4,1,4_17_24,
4,1,4_10_54,
4,1,4_17_48,
4,1,4_17_00,
4,1,4_09_18,
4,1,4_07_42,
4,1,4_15_48,
4,1,4_09_42,
4,1,4_08_54,
4,1,4_19_24,
4,1,4_08_30,
5,1,5_18_36,
5,1,5_16_36,
5,1,5_11_42,
5,1,5_18_12,
5,1,5_10_06,
5,1,5_17_24,
5,1,5_10_54,
5,1,5_17_48,
5,1,5_17_00,
5,1,5_09_18,
5,1,5_07_42,
5,1,5_15_48,
5,1,5_09_42,
5,1,5_08_54,
5,1,5_19_24,
5,1,5_08_30,
6,1,6_18_36,
6,1,6_16_36,
6,1,6_11_42,
6,1,6_18_12,
6,1,6_10_06,
6,1,6_17_24,
6,1,6_10_54,
6,1,6_17_48,
6,1,6_17_00,
6,1,6_09_18,
6,1,6_07_42,
6,1,6_15_48,
6,1,6_09_42,
6,1,6_08_54,
6,1,6_19_24,
6,1,6_08_30,
7,1,7_06_00,
7,1,7_07_20,
7,1,7_07_40,
8,1,8_05_22,
8,1,8_18_55,
8,1,8_20_26,
8,1,8_19_47,
8,1,8_21_18,
8,1,8_16_12,
8,1,8_09_49,
8,1,8_11_33,
8,1,8_11_46,
8,1,8_14_28,
8,1,8_10_41,
8,1,8_12_51,
8,1,8_15_20,
8,1,8_13_36,
8,1,8_06_14,
8,1,8_07_06,
8,1,8_20_52,
8,1,8_13_04,
8,1,8_07_45,
8,1,8_18_03,
9,1,9_05_22,
9,1,9_18_55,
9,1,9_20_26,
9,1,9_19_47,
9,1,9_21_18,
9,1,9_16_12,
9,1,9_09_49,
9,1,9_11_33,
9,1,9_11_46,
9,1,9_14_28,
9,1,9_10_41,
9,1,9_12_51,
9,1,9_15_20,
9,1,9_13_36,
9,1,9_06_14,
9,1,9_07_06,
9,1,9_20_52,
9,1,9_13_04,
9,1,9_07_45,
9,1,9_18_03,
10,1,10_09_12,
10,1,10_08_44,
10,1,10_13_56,
10,1,10_17_14,
10,1,10_12_00,
10,1,10_10_36,
10,1,10_14_52,
10,1,10_11_04,
10,1,10_18_38,
10,1,10_07_48,
10,1,10_20_58,
10,1,10_08_16,
10,1,10_16_46,
10,1,10_18_10,
10,1,10_21_26,
10,1,10_11_32,
10,1,10_20_30,
10,1,10_14_24,
10,1,10_20_02,
10,1,10_15_20,
10,1,10_21_54,
10,1,10_17_42,
10,1,10_07_20,
10,1,10_15_48,
10,1,10_10_08,
11,1,11_17_34,
11,1,11_15_42,
11,1,11_17_02,
11,1,11_10_00,
11,1,11_18_06,
11,1,11_08_08,
11,1,11_08_48,
11,1,11_16_14,
11,1,11_07_36,
11,1,11_17_18,
11,1,11_08_56,
11,1,11_09_28,
12,1,12_12_26,
12,1,12_16_42,
12,1,12_09_14,
12,1,12_09_46,
12,1,12_19_54,
12,1,12_15_22,
12,1,12_08_26,
12,1,12_20_58,
12,1,12_10_50,
12,1,12_16_10,
12,1,12_12_58,
12,1,12_11_38,
12,1,12_07_22,
12,1,12_18_34,
12,1,12_17_46,
12,1,12_10_34,
12,1,12_17_30,
12,1,12_14_02,
12,1,12_14_18,
12,1,12_19_22,
13,1,13_12_26,
13,1,13_16_42,
13,1,13_09_14,
13,1,13_09_46,
13,1,13_19_54,
13,1,13_15_22,
13,1,13_08_26,
13,1,13_20_58,
13,1,13_10_50,
